"gender","type","year","y","wr"
"men","100m freestyle LCM",2018,2.09424083769634,2.1551724137931
"men","100m freestyle LCM",2019,2.12947189097104,2.1551724137931
"men","100m freestyle LCM",2020,2.10216523018709,2.1551724137931
"men","100m freestyle LCM",2021,2.12675457252233,2.1551724137931
"men","100m freestyle LCM",2022,2.13401621852326,2.1551724137931
"men","100m freestyle LCM",2023,2.12901852246115,2.1551724137931
"men","100m freestyle LCM",2024,2.1551724137931,2.1551724137931
"men","100m freestyle SCM",2000,2.13903743315508,2.23015165031222
"men","100m freestyle SCM",2001,2.11999152003392,2.23015165031222
"men","100m freestyle SCM",2002,2.12811236433284,2.23015165031222
"men","100m freestyle SCM",2003,2.1362956633198,2.23015165031222
"men","100m freestyle SCM",2004,2.16216216216216,2.23015165031222
"men","100m freestyle SCM",2005,2.16216216216216,2.23015165031222
"men","100m freestyle SCM",2006,2.1362956633198,2.23015165031222
"men","100m freestyle SCM",2007,2.18197687104517,2.23015165031222
"men","100m freestyle SCM",2008,2.22518914107699,2.23015165031222
"men","100m freestyle SCM",2009,2.21827861579414,2.23015165031222
"men","100m freestyle SCM",2010,2.18627022299956,2.23015165031222
"men","100m freestyle SCM",2011,2.14776632302405,2.23015165031222
"men","100m freestyle SCM",2012,2.19683655536028,2.23015165031222
"men","100m freestyle SCM",2013,2.2202486678508,2.23015165031222
"men","100m freestyle SCM",2014,2.19731927049,2.23015165031222
"men","100m freestyle SCM",2015,2.17533173809006,2.23015165031222
"men","100m freestyle SCM",2016,2.1944261575598,2.23015165031222
"men","100m freestyle SCM",2017,2.21092195445501,2.23015165031222
"men","100m freestyle SCM",2018,2.22469410456062,2.23015165031222
"men","100m freestyle SCM",2019,2.21141088014153,2.23015165031222
"men","100m freestyle SCM",2020,2.21827861579414,2.23015165031222
"men","100m freestyle SCM",2021,2.23015165031222,2.23015165031222
"men","100m freestyle SCM",2022,2.21434898139947,2.23015165031222
"men","100m freestyle SCM",2023,2.1997360316762,2.23015165031222
"men","100m freestyle SCM",2024,2.22469410456062,2.23015165031222
"men","100m medley SCM",2000,1.89429816253078,2.02922077922078
"men","100m medley SCM",2001,1.90005700171005,2.02922077922078
"men","100m medley SCM",2002,1.89035916824197,2.02922077922078
"men","100m medley SCM",2003,1.90186382655002,2.02922077922078
"men","100m medley SCM",2004,1.89897455374098,2.02922077922078
"men","100m medley SCM",2005,1.94099378881988,2.02922077922078
"men","100m medley SCM",2006,1.90766882869134,2.02922077922078
"men","100m medley SCM",2007,1.90766882869134,2.02922077922078
"men","100m medley SCM",2008,1.95503421309873,2.02922077922078
"men","100m medley SCM",2009,1.97005516154452,2.02922077922078
"men","100m medley SCM",2010,1.96811651249754,2.02922077922078
"men","100m medley SCM",2011,1.93610842207164,2.02922077922078
"men","100m medley SCM",2012,1.97199763360284,2.02922077922078
"men","100m medley SCM",2013,1.96232339089482,2.02922077922078
"men","100m medley SCM",2014,1.9739439399921,2.02922077922078
"men","100m medley SCM",2015,1.92307692307692,2.02922077922078
"men","100m medley SCM",2016,1.98807157057654,2.02922077922078
"men","100m medley SCM",2017,1.98570293884035,2.02922077922078
"men","100m medley SCM",2018,1.98965380023876,2.02922077922078
"men","100m medley SCM",2019,1.95503421309873,2.02922077922078
"men","100m medley SCM",2020,2.02922077922078,2.02922077922078
"men","100m medley SCM",2021,1.97316495659037,2.02922077922078
"men","100m medley SCM",2022,1.96193839513439,2.02922077922078
"men","100m medley SCM",2023,1.95541650371529,2.02922077922078
"men","100m medley SCM",2024,2.00320512820513,2.02922077922078
"men","1500m freestyle LCM",2000,1.68856168315829,1.72281116841053
"men","1500m freestyle LCM",2001,1.71514818880351,1.72281116841053
"men","1500m freestyle LCM",2002,1.70135541314581,1.72281116841053
"men","1500m freestyle LCM",2003,1.69848495142333,1.72281116841053
"men","1500m freestyle LCM",2004,1.69798505773149,1.72281116841053
"men","1500m freestyle LCM",2005,1.69956264587913,1.72281116841053
"men","1500m freestyle LCM",2006,1.68174632538428,1.72281116841053
"men","1500m freestyle LCM",2007,1.69311691536673,1.72281116841053
"men","1500m freestyle LCM",2008,1.70663996723251,1.72281116841053
"men","1500m freestyle LCM",2009,1.70983038482583,1.72281116841053
"men","1500m freestyle LCM",2010,1.71344367910627,1.72281116841053
"men","1500m freestyle LCM",2011,1.71597226988812,1.72281116841053
"men","1500m freestyle LCM",2012,1.72211889508852,1.72281116841053
"men","1500m freestyle LCM",2013,1.70232083073257,1.72281116841053
"men","1500m freestyle LCM",2014,1.70468105417476,1.72281116841053
"men","1500m freestyle LCM",2015,1.70518489888254,1.72281116841053
"men","1500m freestyle LCM",2016,1.71616859640291,1.72281116841053
"men","1500m freestyle LCM",2017,1.71262202431923,1.72281116841053
"men","1500m freestyle LCM",2018,1.7120356103407,1.72281116841053
"men","1500m freestyle LCM",2019,1.71127387227052,1.72281116841053
"men","1500m freestyle LCM",2020,1.7180162638873,1.72281116841053
"men","1500m freestyle LCM",2021,1.71144959780934,1.72281116841053
"men","1500m freestyle LCM",2022,1.7186067827681,1.72281116841053
"men","1500m freestyle LCM",2023,1.72109140142736,1.72281116841053
"men","1500m freestyle LCM",2024,1.72281116841053,1.72281116841053
"men","1500m freestyle SCM",2000,1.72510954445607,1.77120725486492
"men","1500m freestyle SCM",2001,1.76449829431832,1.77120725486492
"men","1500m freestyle SCM",2002,1.71636496784676,1.77120725486492
"men","1500m freestyle SCM",2003,1.70702840495266,1.77120725486492
"men","1500m freestyle SCM",2004,1.70617407525365,1.77120725486492
"men","1500m freestyle SCM",2005,1.72986437863272,1.77120725486492
"men","1500m freestyle SCM",2006,1.75207036314578,1.77120725486492
"men","1500m freestyle SCM",2007,1.73502671941148,1.77120725486492
"men","1500m freestyle SCM",2008,1.73816310922617,1.77120725486492
"men","1500m freestyle SCM",2009,1.74329412858537,1.77120725486492
"men","1500m freestyle SCM",2010,1.73578966857989,1.77120725486492
"men","1500m freestyle SCM",2011,1.72451454915441,1.77120725486492
"men","1500m freestyle SCM",2012,1.72854871050266,1.77120725486492
"men","1500m freestyle SCM",2013,1.72880769895695,1.77120725486492
"men","1500m freestyle SCM",2014,1.75213176030838,1.77120725486492
"men","1500m freestyle SCM",2015,1.76874277763366,1.77120725486492
"men","1500m freestyle SCM",2016,1.75338110322739,1.77120725486492
"men","1500m freestyle SCM",2017,1.7552276530266,1.77120725486492
"men","1500m freestyle SCM",2018,1.76649315778317,1.77120725486492
"men","1500m freestyle SCM",2019,1.75000583335278,1.77120725486492
"men","1500m freestyle SCM",2020,1.7238010963375,1.77120725486492
"men","1500m freestyle SCM",2021,1.77120725486492,1.77120725486492
"men","1500m freestyle SCM",2022,1.75551524372403,1.77120725486492
"men","1500m freestyle SCM",2023,1.76655556994971,1.77120725486492
"men","1500m freestyle SCM",2024,1.75151798225128,1.77120725486492
"men","200 metres",2001,10.0603621730382,10.4220948410631
"men","200 metres",2002,10.0755667506297,10.4220948410631
"men","200 metres",2003,9.99500249875062,10.4220948410631
"men","200 metres",2004,10.1061141990905,10.4220948410631
"men","200 metres",2005,10.0553041729512,10.4220948410631
"men","200 metres",2006,10.1884870096791,10.4220948410631
"men","200 metres",2007,10.1936799184506,10.4220948410631
"men","200 metres",2008,10.3626943005181,10.4220948410631
"men","200 metres",2009,10.4220948410631,10.4220948410631
"men","200 metres",2010,10.2249488752556,10.4220948410631
"men","200 metres",2011,10.3842159916926,10.4220948410631
"men","200 metres",2012,10.351966873706,10.4220948410631
"men","200 metres",2013,10.1729399796541,10.4220948410631
"men","200 metres",2014,10.1626016260163,10.4220948410631
"men","200 metres",2015,10.230179028133,10.4220948410631
"men","200 metres",2016,10.1317122593718,10.4220948410631
